---- log file ---
2007-08-23T18:40:54-05:00 : SELECT * FROM collection WHERE ascii_id = :ascii_id LIMIT 1 /// test_collection
2007-08-30T13:50:28-05:00 : SELECT * FROM collection WHERE ascii_id = :ascii_id LIMIT 1 /// efossils_collection
2007-08-30T13:50:40-05:00 : SELECT * FROM collection WHERE ascii_id = :ascii_id LIMIT 1 /// efossils_collection
2007-08-30T13:52:07-05:00 : SELECT * FROM collection WHERE ascii_id = :ascii_id /// efossils_collection
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute WHERE collection_id = :collection_id /// 61
2007-08-30T13:52:07-05:00 : SELECT * FROM item_type WHERE collection_id = :collection_id /// 61
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 9
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 24
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 26
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 27
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 42
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 30
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 47
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 54
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 21
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 57
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 58
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 59
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 63
2007-08-30T13:52:07-05:00 : SELECT * FROM attribute_item_type WHERE item_type_id = :item_type_id /// 65
2007-08-30T13:52:07-05:00 : SELECT * FROM item WHERE collection_id = :collection_id LIMIT 100000 /// 61
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365237
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365240
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365275
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365279
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365214
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365212
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365215
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 388326
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365217
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365218
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365227
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365228
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 388661
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 388664
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365241
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365242
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365243
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365244
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365245
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365249
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365250
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365251
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365252
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365253
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365258
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365259
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365260
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365261
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365262
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365269
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365274
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365276
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365277
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365278
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365280
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365282
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365288
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365289
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 387877
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365208
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365209
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365210
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365211
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365216
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365219
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365220
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365221
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365222
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365223
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365224
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365225
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365226
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365254
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365255
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365256
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 365257
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390521
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390522
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390523
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 296566
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390538
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390539
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390554
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390555
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390556
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390557
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 390558
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 391645
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 391646
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 391647
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 391648
2007-08-30T13:52:07-05:00 : SELECT * FROM media_file WHERE item_id = :item_id /// 391649
