Acetabulum,the socket of the hip joint; an articular surface that encompasses the head of the femur.,,
Acheulean,a tool culture first associated with Homo ergaster/Homo erectus; characterized by bifacially-flaked handaxes.,,
Adaptation,"an anatomical structure, physiological process or behavioral trait of an organism that has evolved over a period of time by the process of natural selection. Adaptations increase the long-term reproductive success of the organism. ",,
Aeolian,sediments deposited by the wind,,
Anvil,"A large, stationary surface (such as a rock) that a core is struck against in order to remove a flake.",,
Arboreal,refers to activity in trees,,
Arboreal Quadrupedalism, a mode of locomotion in which the animal moves along horizontal branches with a regular gain pattern involving all four limbs.,,
Assemblage,a set of artifacts found in association with each other; an accumulation of bones or artifacts,,
Australopithecines,"genus Australopithecus; a form of extinct hominin ancestral to humans. Fossil australopithecines show evidence of bipedalism, but generally retain relatively small brains and stature.",,
Awls,"A sharp tool used to punch holes in leather or wood.  May be made of stone, bone, or antler.",,
Bentonite,a clay that forms from the weathering of volcanic ash,
Bicondylar angle,the angle at which the shaft of the femur sits relative to the perpendicular midline of the body.,
Biface,A stone tool that has been worked on both sides (faces).  ,Illustrations/Acheulean_biface_400x400.jpg
Billet,"A tool for soft percussion, typically made of antler or wood.  ",
Bipedal,"refers to locomotion (walking, running, standing) on two legs. Organisms can be habitual bipeds, meaning that it is their primary form of movement, or facultative bipeds, meaning that they only move on two legs occasionally.",
Brow Ridge,the ridge of bones above the eye orbits; also known as the supraorbital torus,
Burins,A flake with a chisel-like edge.  May have been used for engraving or carving wood/bone.,
Chert,A raw material used to make lithic tools.  Found in irregular formations throughout sedimentary deposits.  Similar to flint.,
Chopper,"The classic tool style of the Oldowan industry.  May be unifacially or bifacially flaked.  One end is worked to form a cutting edge, while the other end retains cortex so that the tool may be held.  These are often made from river cobbles.",
Chromosome,"a large molecule found in cells that contains DNA. Humans have 46 chromosomes (44 autosomal and 2 sexual), but different species have different chromosomal numbers.",
Condyle,an articular prominence of a bone.,
Conspecifics,organisms belonging to the same species.,
Core,"A prepared lithic with the outer cortex removed, and platforms for flaking typically prepared.",
Cortex,The rough outside of raw stone materials formed by chemical and mechanical weathering processes.,
